"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 24 11:56:18 GMT 2020","Tue Nov 24 11:56:37 GMT 2020","18361","","Registration Fixture","","Registration Fixture","Assert home page","Assert home page",""
"passed","Tue Nov 24 11:58:03 GMT 2020","Tue Nov 24 11:59:48 GMT 2020","104400","","Registration Fixture","","Registration Fixture","User registration and Login test","User registration and Login test",""
